pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2120020-287	|	47	47	434	|	366	9.345	|	0.128	1.2	1.200	47	0.108
2120020-288	|	401	401	2633	|	2098	9.345	|	0.191	1.786	1.786	401	0.152
2120020-289	|	118	118	736	|	583	9.345	|	0.202	1.891	1.891	118	0.16
2120020-290	|	298	298	2086	|	1678	9.345	|	0.178	1.66	1.660	298	0.143
2120020-291	|	54	54	457	|	374	9.345	|	0.144	1.349	1.349	54	0.118
2120020-292	|	542	541	3163	|	2522	9.345	|	0.215	2.008	2.005	541	0.171
2120020-293	|	225	224	1393	|	1098	9.345	|	0.205	1.915	1.906	224	0.162
2120020-294	|	467	466	3029	|	2421	9.345	|	0.193	1.803	1.799	466	0.154
2120020-295	|	161	160	1038	|	825	9.345	|	0.195	1.824	1.812	160	0.155
2120020-296	|	368	368	2413	|	1935	9.345	|	0.19	1.777	1.777	368	0.153
2120020-297	|	92	92	642	|	519	9.345	|	0.177	1.657	1.657	92	0.143
2120020-298	|	304	304	2153	|	1736	9.345	|	0.175	1.636	1.636	304	0.141
2120020-299	|	57	57	515	|	437	9.345	|	0.13	1.219	1.219	57	0.111
2120020-300	|	819	818	2896	|	2326	9.345	|	0.352	3.29	3.286	818	0.283
2120020-301	|	495	494	1806	|	1471	9.345	|	0.337	3.145	3.138	494	0.274
2120020-302	|	860	859	2929	|	2387	9.345	|	0.36	3.367	3.363	859	0.294
2120020-303	|	552	551	1743	|	1445	9.345	|	0.382	3.57	3.563	551	0.317
2120020-304	|	958	957	2952	|	2385	9.345	|	0.402	3.754	3.750	957	0.325
2120020-305	|	653	652	1726	|	1405	9.345	|	0.465	4.343	4.337	652	0.378
2120020-306	|	792	792	2933	|	2310	9.345	|	0.343	3.204	3.204	792	0.27
2120020-307	|	439	438	2161	|	1688	9.345	|	0.26	2.43	2.425	438	0.203
2120020-308	|	217	216	1595	|	1271	9.345	|	0.171	1.595	1.588	216	0.136
2120020-309	|	70	69	517	|	406	9.345	|	0.172	1.611	1.588	69	0.135
2120020-310	|	277	276	1833	|	1430	9.345	|	0.194	1.81	1.804	276	0.151
2120020-311	|	121	121	691	|	524	9.345	|	0.231	2.158	2.158	121	0.175
2120020-312	|	205	204	1511	|	1203	9.345	|	0.17	1.592	1.585	204	0.136
2120020-313	|	59	59	429	|	342	9.345	|	0.173	1.612	1.612	59	0.138
2120020-314	|	144	144	1293	|	1061	9.345	|	0.136	1.268	1.268	144	0.111
2120020-315	|	43	43	481	|	406	9.345	|	0.106	0.99	0.990	43	0.089
2120020-316	|	207	207	1606	|	1293	9.345	|	0.16	1.496	1.496	207	0.129
2120020-317	|	73	73	530	|	430	9.345	|	0.17	1.586	1.586	73	0.138
2120020-318	|	192	192	1410	|	1134	9.345	|	0.169	1.582	1.582	192	0.136
2120020-319	|	57	57	384	|	301	9.345	|	0.189	1.77	1.770	57	0.148
2120020-320	|	267	266	1835	|	1444	9.345	|	0.185	1.728	1.721	266	0.146
2120020-321	|	114	113	718	|	555	9.345	|	0.205	1.919	1.903	113	0.159
2120020-322	|	234	233	1751	|	1399	9.345	|	0.167	1.563	1.556	233	0.134
2120020-323	|	101	100	615	|	476	9.345	|	0.212	1.983	1.963	100	0.164
2120020-324	|	214	214	1618	|	1291	9.345	|	0.166	1.549	1.549	214	0.132
2120020-325	|	68	68	497	|	396	9.345	|	0.172	1.605	1.605	68	0.137
2120020-326	|	192	192	1468	|	1177	9.345	|	0.163	1.524	1.524	192	0.131
2120020-327	|	61	61	380	|	294	9.345	|	0.207	1.939	1.939	61	0.161
2120020-328	|	500	499	2882	|	2293	9.345	|	0.218	2.038	2.034	499	0.173
2120020-329	|	484	483	1110	|	869	9.345	|	0.557	5.205	5.194	483	0.436
2120020-330	|	447	446	3013	|	2428	9.345	|	0.184	1.72	1.717	446	0.148
2120020-331	|	370	369	1603	|	1287	9.345	|	0.287	2.687	2.679	369	0.231
2120020-332	|	471	470	3063	|	2451	9.345	|	0.192	1.796	1.792	470	0.154
2120020-333	|	396	395	1745	|	1375	9.345	|	0.288	2.691	2.685	395	0.227
2120020-334	|	361	361	2461	|	1930	9.345	|	0.187	1.748	1.748	361	0.147
2120020-335	|	234	234	1514	|	1176	9.345	|	0.199	1.859	1.859	234	0.155
2120020-336	|	253	253	1816	|	1393	9.345	|	0.182	1.697	1.697	253	0.139
2120020-337	|	86	86	561	|	429	9.345	|	0.2	1.873	1.873	86	0.153
2120020-338	|	324	324	2136	|	1630	9.345	|	0.199	1.858	1.858	324	0.152
2120020-339	|	139	139	805	|	597	9.345	|	0.233	2.176	2.176	139	0.173
2120020-340	|	254	254	1720	|	1328	9.345	|	0.191	1.787	1.787	254	0.148
2120020-341	|	56	56	437	|	348	9.345	|	0.161	1.504	1.504	56	0.128
2120020-342	|	147	147	1393	|	1113	9.345	|	0.132	1.234	1.234	147	0.106
2120020-343	|	50	50	443	|	355	9.345	|	0.141	1.316	1.316	50	0.113
2120020-344	|	251	251	1836	|	1404	9.345	|	0.179	1.671	1.671	251	0.137
2120020-345	|	87	87	547	|	410	9.345	|	0.212	1.983	1.983	87	0.159
2120020-346	|	220	220	1521	|	1175	9.345	|	0.187	1.75	1.750	220	0.145
2120020-347	|	57	57	376	|	280	9.345	|	0.204	1.902	1.902	57	0.152
2120020-348	|	311	311	2035	|	1542	9.345	|	0.202	1.885	1.885	311	0.153
2120020-349	|	137	137	782	|	573	9.345	|	0.239	2.234	2.234	137	0.175
2120020-350	|	252	251	1882	|	1457	9.345	|	0.173	1.616	1.610	251	0.134
2120020-351	|	113	113	645	|	483	9.345	|	0.234	2.186	2.186	113	0.175
2120020-352	|	240	240	1658	|	1262	9.345	|	0.19	1.777	1.777	240	0.145
2120020-353	|	88	88	516	|	386	9.345	|	0.228	2.13	2.130	88	0.171
2120020-354	|	229	229	1651	|	1276	9.345	|	0.179	1.677	1.677	229	0.139
2120020-355	|	66	66	445	|	345	9.345	|	0.191	1.788	1.788	66	0.148
2120020-356	|	598	598	2940	|	2281	9.345	|	0.262	2.45	2.450	598	0.203
2120020-357	|	529	529	1041	|	805	9.345	|	0.657	6.141	6.141	529	0.508
2120020-358	|	506	506	3122	|	2429	9.345	|	0.208	1.947	1.947	506	0.162
2120020-359	|	368	368	1762	|	1372	9.345	|	0.268	2.507	2.507	368	0.209
2120020-360	|	546	546	3046	|	2345	9.345	|	0.233	2.176	2.176	546	0.179
2120020-361	|	427	427	1354	|	1043	9.345	|	0.409	3.826	3.826	427	0.315
2120020-362	|	410	410	2691	|	2033	9.345	|	0.202	1.885	1.885	410	0.152
2120020-363	|	269	268	1576	|	1149	9.345	|	0.234	2.188	2.180	268	0.171
2120020-364	|	365	364	1741	|	1376	9.345	|	0.265	2.479	2.472	364	0.21
2120020-365	|	111	110	563	|	452	9.345	|	0.246	2.295	2.274	110	0.197
2120020-366	|	510	509	2235	|	1725	9.345	|	0.296	2.763	2.757	509	0.228
2120020-367	|	216	215	905	|	689	9.345	|	0.313	2.93	2.916	215	0.239
2120020-368	|	351	350	1619	|	1268	9.345	|	0.277	2.587	2.579	350	0.217
2120020-369	|	89	89	477	|	388	9.345	|	0.229	2.144	2.144	89	0.187
2120020-370	|	192	192	1148	|	956	9.345	|	0.201	1.877	1.877	192	0.167
2120020-371	|	62	62	414	|	352	9.345	|	0.176	1.646	1.646	62	0.15
2120020-372	|	407	407	1821	|	1414	9.345	|	0.288	2.69	2.690	407	0.224
2120020-373	|	144	144	572	|	428	9.345	|	0.336	3.144	3.144	144	0.252
2120020-374	|	315	315	1449	|	1134	9.345	|	0.278	2.596	2.596	315	0.217
2120020-375	|	72	72	375	|	303	9.345	|	0.238	2.221	2.221	72	0.192
2120020-376	|	502	501	2240	|	1738	9.345	|	0.289	2.699	2.694	501	0.224
2120020-377	|	218	217	918	|	700	9.345	|	0.311	2.91	2.897	217	0.237
2120020-378	|	445	444	1982	|	1537	9.345	|	0.29	2.706	2.700	444	0.225
2120020-379	|	181	180	741	|	560	9.345	|	0.323	3.02	3.004	180	0.244
2120020-380	|	362	362	1738	|	1376	9.345	|	0.263	2.458	2.458	362	0.208
2120020-381	|	114	113	547	|	433	9.345	|	0.263	2.46	2.439	113	0.208
2120020-382	|	315	315	1530	|	1215	9.345	|	0.259	2.423	2.423	315	0.206
2120020-383	|	81	81	422	|	341	9.345	|	0.238	2.22	2.220	81	0.192
2120020-384	|	954	953	2905	|	2269	9.345	|	0.42	3.929	3.925	953	0.328
2120020-385	|	852	851	1041	|	833	9.345	|	1.023	9.558	9.547	851	0.818
2120020-386	|	785	784	2929	|	2310	9.345	|	0.34	3.176	3.172	784	0.268
2120020-387	|	547	546	1773	|	1405	9.345	|	0.389	3.638	3.632	546	0.309
2120020-388	|	815	814	2971	|	2332	9.345	|	0.349	3.266	3.262	814	0.274
2120020-389	|	623	622	1632	|	1294	9.345	|	0.481	4.499	4.492	622	0.382
2120020-390	|	724	724	2920	|	2196	9.345	|	0.33	3.081	3.081	724	0.248
2120020-391	|	455	455	1802	|	1347	9.345	|	0.338	3.157	3.157	455	0.252
2120020-392	|	117	117	930	|	713	9.345	|	0.164	1.533	1.533	117	0.126
2120020-393	|	30	30	264	|	214	9.345	|	0.14	1.31	1.310	30	0.114
2120020-394	|	208	208	1617	|	1223	9.345	|	0.17	1.589	1.589	208	0.129
2120020-395	|	97	97	718	|	552	9.345	|	0.176	1.642	1.642	97	0.135
2120020-396	|	107	107	931	|	727	9.345	|	0.147	1.375	1.375	107	0.115
2120020-397	|	28	28	237	|	187	9.345	|	0.15	1.399	1.399	28	0.118
2120020-398	|	39	38	490	|	387	9.345	|	0.101	0.942	0.918	38	0.08
2120020-399	|	11	11	165	|	135	9.345	|	0.081	0.761	0.761	11	0.067
2120020-400	|	146	146	1134	|	864	9.345	|	0.169	1.579	1.579	146	0.129
2120020-401	|	37	37	327	|	252	9.345	|	0.147	1.372	1.372	37	0.113
2120020-402	|	102	102	830	|	633	9.345	|	0.161	1.506	1.506	102	0.123
2120020-403	|	18	18	181	|	142	9.345	|	0.127	1.185	1.185	18	0.099
2120020-404	|	184	184	1556	|	1174	9.345	|	0.157	1.465	1.465	184	0.118
2120020-405	|	74	74	650	|	505	9.345	|	0.147	1.369	1.369	74	0.114
2120020-406	|	160	160	1392	|	1078	9.345	|	0.148	1.387	1.387	160	0.115
2120020-407	|	50	50	506	|	395	9.345	|	0.127	1.183	1.183	50	0.099
2120020-408	|	118	118	1063	|	826	9.345	|	0.143	1.335	1.335	118	0.111
2120020-409	|	34	34	307	|	245	9.345	|	0.139	1.297	1.297	34	0.111
2120020-410	|	80	80	775	|	609	9.345	|	0.131	1.228	1.228	80	0.103
2120020-411	|	23	23	173	|	131	9.345	|	0.176	1.641	1.641	23	0.133
2120020-412	|	375	375	2743	|	2082	9.345	|	0.18	1.683	1.683	375	0.137
2120020-413	|	353	353	1182	|	941	9.345	|	0.375	3.506	3.506	353	0.299
2120020-414	|	276	276	2366	|	1802	9.345	|	0.153	1.431	1.431	276	0.117
2120020-415	|	195	195	1714	|	1321	9.345	|	0.148	1.379	1.379	195	0.114
2120020-416	|	293	293	2513	|	1918	9.345	|	0.153	1.428	1.428	293	0.117
2120020-417	|	226	226	1883	|	1442	9.345	|	0.157	1.465	1.465	226	0.12
2120020-418	|	337	337	2685	|	2046	9.345	|	0.165	1.539	1.539	337	0.126
2120020-419	|	266	266	2089	|	1599	9.345	|	0.166	1.555	1.555	266	0.127
